strain,PDMI_mean,PDMI_sd,PDMI_ci_low,PDMI_ci_high,rank_median,rank_iqr
DKB 58,0.4525456244951468,0.18054952793081275,0.08769783020486345,0.7826683089442977,1.0,1.0
DLGB 2,0.250089920659777,0.1837451868010292,-0.11174574780434977,0.596839974290896,2.0,0.0
AJ 1.2,0.0045624658068011015,0.15647564064074054,-0.30244030543472034,0.3153789828165674,4.0,2.0
CMg,-0.010069622658407653,0.08194882763673468,-0.14791429569817294,0.18033265773237525,4.0,1.0
DKB 64,-0.07243772059146349,0.12889533174593032,-0.35762085414212336,0.15355483159799235,4.0,1.0
