b,AJ 1.2,CMg,DKB 58,DKB 64,DLGB 2
0,0.11346124446673134,0.0032822951368299325,0.27822814914108046,-0.11619610721697851,0.26187597676160557
1,-0.12135460416289579,0.05871168851967641,0.6329403570118476,-0.13937615345831875,0.06294856930476125
2,-0.0031718590743221977,-0.033673341890531984,0.34506155006609707,-0.39725252510778153,0.24510521549307346
3,-0.2179202235241311,-0.023342637673187387,0.4955583691656099,0.043388086775093454,0.4835296351468754
4,-0.1681475927231328,0.03868922902235043,0.5760777630607972,-0.04317528922353827,0.599023344059998
5,0.2148034635871646,-0.11786115004945316,0.30943537308592756,0.006607234385295641,0.07104954792162338
6,-0.10082701383602458,-0.10080437799884263,0.6409217349826362,-0.2131333957583601,0.2972644622117092
7,0.13719948820156339,-0.042844833946261096,0.3803787180590706,0.06540124854813961,0.05901744885462519
8,-0.016757305805701277,-0.05853388963134354,0.34145189478926696,-0.12665857800521813,0.4020932396242408
9,-0.35750768230331775,-0.059301450830715696,0.4887637087524121,-0.14882015786861663,0.7660258323806226
10,-0.1293022933723837,0.016565351957249067,0.4054526271594393,0.10548010078898222,0.17740683382142458
11,0.09407340161126318,-0.17141365135700298,0.5564704862904545,-0.09733173575678128,0.3227806081319827
12,-0.16512034765608824,-0.1466830799236108,0.5380435024916327,-0.15504993371690454,0.6614767919319778
13,-0.16121121799496527,-0.10737102982062707,0.5547730564176809,-0.26591321832314174,0.2768526002097252
14,0.19769042196269757,-0.060811125671299,0.16240032431616247,0.0655277492369753,0.04737801278479657
15,0.015015007997471751,-0.029006954575326937,0.6800566832345009,0.06871229784297891,0.12702403853079064
16,0.048149802298138325,0.03597613798981999,0.3792998117778714,-0.33542412860573617,0.12096753569113719
17,0.1142663421643341,0.0809115546233197,-0.002255326901262111,-0.21912916820418088,0.3213838409646949
18,-0.04013364283565953,-0.04608953965134685,0.7269384133287768,0.02375286355837285,0.19047782263044324
19,-0.036890395635789754,-0.015549122107761656,0.552071660707476,0.017970516302544766,0.4530425114399549
20,-0.0713458531867909,-0.018861216692732174,0.5328856807887866,-0.1254147402550932,0.1390131062322523
21,-0.1340580986091821,-0.013081587066463415,0.40449691896767587,0.11533851627746732,0.391700243516597
22,0.29552989643169714,-0.0006315583195182217,0.4030897189640152,-0.03504539229656005,0.14588994928056115
23,0.09351183768933341,-0.12477278503119027,0.21474104530933324,-0.033375119484097174,0.3620998311539975
24,-0.27208865646962704,0.055960657126782755,0.8762803394977012,-0.189910210854003,0.1602573265033048
25,0.3654172697921131,0.20497716417669612,0.15045319552164915,0.00900031051882923,0.1904710811856423
26,-0.14446942925613934,-0.04796230975359809,0.5831696418241592,-0.1133608931481653,0.15249972831493838
27,-0.003033011522467288,0.04666116974012008,0.2932098035495666,0.18331813868121202,0.20619765441522894
28,-0.12018623159224177,-0.08762946501837543,0.4137720483222601,-0.2537587077317904,0.2847609447917834
29,0.1725181233497759,-0.018686309333462756,0.39024257039373234,0.04111329357413792,0.5518899837063119
30,0.035346673818903177,0.04257969691576834,0.5913082241038015,-0.06249059675455178,0.23006047706305507
31,-0.11731794283550243,-0.004252356381428679,0.6951823012850687,-0.07805857939967106,0.1194297086436199
32,0.15999672323071915,0.07627567224483853,0.402998559690953,-0.012677636988557306,-0.08733217950072905
33,0.24675590858033555,-0.11435924949782753,0.31943659988153794,-0.15342518572233388,0.35377835572280636
34,-0.08530686425836272,-0.08744495269886494,0.10486298985071722,0.07097840811240475,0.31390456025714525
35,0.16929745564833354,-0.22943476523017856,0.4463770938562977,-0.19148490556119632,0.2337787150701835
36,-0.2242669327515649,-0.04468303235515177,0.5093830603134495,0.059697372926131434,0.3464598273128397
37,-0.08519244528753363,0.025949464446246618,0.47627849813262574,-0.06295372843126545,0.5487212289729955
38,-0.1306983359961867,-0.03834282715616585,0.4148722464069838,0.09560860139657584,0.35703622661200246
39,0.2693915819685607,0.050050440628942525,0.4631054714509387,-0.13355449230130007,0.4342693327549383
40,-0.050824594838801064,0.18058972118284622,0.5883055243242419,0.12071256011835776,0.09574702127072246
41,0.03676597990611215,-0.04756232909801901,0.48892308430379156,-0.15996156523073995,0.2721218916311187
42,0.18442562638509336,0.03414801291571866,0.1266148530996966,-0.054252797419705914,0.19185656511637722
43,0.23836674017240056,-0.08483617641152266,0.3470955568661018,-0.2737935677398551,0.11678484905190892
44,0.2260026234661841,0.051824104229473936,0.0135870291947924,-0.15324517381781746,0.24385966998391123
45,0.02067099721374832,-0.06337073596963594,0.4348900212108676,-0.20519161130756497,0.16449564304227354
46,0.031708729698500714,-0.12396888197416005,0.6547703375365935,-0.13572514122840296,0.33433436102307523
47,-0.2251034876777907,-0.009743867269747908,0.548950884753322,-0.04022095045386683,0.4918830912656099
48,-0.2200231690562946,-0.08166545754768581,0.6035472554278265,-0.2243918711847052,0.552203666093079
49,0.1291261760846814,-0.013733195060118978,0.4164543981972718,-0.036539545554563194,0.17949024780199882
50,-0.015557906419844902,0.044346182227448176,0.8320165234856599,-0.07348261215889088,0.041952400955073174
51,0.015150980899913836,-0.06814643756903908,0.3473111272389714,-0.0257739592547634,0.2625396544866823
52,-0.09115843081114829,0.029782033370522636,0.554930863754022,-0.0913968732228427,0.5184478846127752
53,-0.06808195378561917,-0.020292022445927902,0.6681578067051108,-0.341185475047953,0.30533688428652567
54,-0.013860897492918588,0.007000366798495812,0.5494556180214395,0.05836701731570376,0.20273026003530342
55,0.3168643205335064,-0.09040447425522614,-0.02904908435750423,-0.1969428478656294,-0.00027255445649364317
56,0.17891544347900667,-0.04210882650235186,0.5825708952854599,-0.020219091296703334,0.09332860130056896
57,-0.3023123173510287,0.004244817065220919,0.6663049161608138,0.13733795570118143,0.2744874152623066
58,-0.10449261219600743,-0.04960519431727728,0.42838507594191205,-0.1289173302568846,0.326712656346383
59,0.1870215163642961,-0.05591664821211082,0.3078705012020303,-0.012458754250771314,0.42698784643153165
60,-0.01432698240525182,0.01354241117256903,0.454063056756998,-0.0008202254264672582,0.32810845004302586
61,0.2011764670085813,-0.059120983066241764,0.2218534470605574,0.027195233503629606,0.4900463220269587
62,0.09824083249543632,0.10199308405117016,0.35040618640245996,-0.37690202028830944,-0.06300936246533509
63,-0.033190881866214814,0.1142923146599811,0.48266627946996915,0.11908860313732347,0.21106544287623152
64,0.11327041205691604,0.15835736361475994,0.39237438363088883,-0.01448098447503848,0.2974877211933789
65,-0.05009527721600158,-0.05626244501240106,0.7121111311212942,-0.012319564593235742,0.18052281722764335
66,0.03564557329617888,0.0625315092723249,0.3324875675715795,0.014337914819871445,0.4808767580367679
67,-0.11508922067052689,-0.009130577987759935,0.3872756447759557,-0.13537096404976062,0.39512847700225684
68,-0.05803323255238246,0.010795885391885595,0.7520398078661649,-0.3624988320642573,-0.01981673748520805
69,0.17116691562846684,0.0223507024762957,0.5460460058088319,-0.0302953831972707,-0.028261990477751596
70,0.01980156983591965,-0.1366567850150209,0.5874922666779198,-0.25029495786611455,0.2564892146755183
71,-0.12431074806723805,-0.02593981969748015,0.21719081005313443,0.1575648510285512,0.30283022394145565
72,0.054375021350797324,-0.08996417565129487,0.3897697773411931,-0.22869946147991266,0.26241384095064135
73,-0.22092462268638116,-0.024081140064039462,0.7680210477446543,-0.08325129527926638,0.30688902047387717
74,-0.06238607657987509,-0.061467689350354716,0.5505434426438758,-0.06937524355956107,0.2804583195035862
75,0.23422627186002112,-0.0205653681438202,0.5677370247116185,-0.057727351059503065,-0.10794045644845444
76,0.02422367698806427,0.0007189313284087951,0.3420922538051855,-0.10710735137819627,0.6476483520941752
77,0.3467054212674151,-0.06814713105710554,0.27730701933644913,-0.08065842031771693,0.07935724749677515
78,-3.2439745028645104e-06,0.09860527392221216,0.5849788590224254,-0.20590954381670779,0.2887734312041804
79,0.12182590412089526,-0.020819061728034504,0.5081721584268776,-0.08034078584790048,0.2586840333598609
80,0.15087935899435437,-0.003576456644216003,0.25269921970354264,0.0727401136798285,0.23378296656652017
81,-0.2429333329691116,0.0493947278967769,0.47200622686444393,-0.16745725939970557,0.5341683306112858
82,0.15473335350598783,-0.03329877918338894,0.2202327144456106,0.11107697872525113,0.4211280748862058
83,0.01483168359614372,0.026710778724489976,0.41379107282900024,0.0027632746244031143,0.3640364815586617
84,-0.2493894258932751,-0.006299770517219927,0.5479162116761073,-0.32993752989869934,0.32299358497593744
85,-0.10398590462637906,-0.024541357545805616,0.4457459027625936,-0.05316876903775765,0.2888613642328005
86,0.06799767124808793,-0.3852771016995667,0.47509496264640416,-0.15679084119638106,0.31856002047532583
87,0.04381795584152328,0.053562344220678605,0.021624797446898228,-0.16720341089244836,0.15995587885350196
88,-0.27193099433728996,-0.12975402306445663,0.7958849461489491,-0.15965176310204907,0.4826544089235344
89,0.17339475803021775,-0.05188768966075587,0.2993713127071299,-0.15298530364766855,0.016564573948591562
90,0.12691181036652094,0.13435736901044243,0.2567402012019741,-0.03649871947961802,0.12648297757258936
91,-0.22684927628986676,0.08120162489591022,0.6901034930804204,-0.08107629332511027,0.5098126446365467
92,-0.05528057021917213,-0.030975108424007865,0.46482801085013065,-0.15041649477458416,0.44713136727233255
93,-0.08133641465508949,0.06099141046026525,0.6142816213986644,-0.03333784829488414,0.14038015241948906
94,-0.05928336076422843,0.00794104462505969,0.42017705627042956,0.013515450897777215,0.6338510868178513
95,0.01221521337332333,-0.024771802580530987,0.48614750605536744,-0.18944313512768077,-0.03315011893590233
96,-0.0050937860488592165,-0.0023020420656923975,0.132806171888731,-0.1754779989876562,0.2424089841389671
97,-0.2784326905470196,-0.029515851490509025,0.6485778001461464,-0.1879860067818748,0.5817296316233531
98,-0.10969043959098415,-0.05014162007449693,0.3111863494206425,0.2270842901997176,0.48825590405287944
99,0.2967112599965874,-0.07680601847564136,0.34358938928649424,-0.06838061703444824,-0.07647986086793583
100,-0.4287438871987768,-0.05341705724513537,0.6103637264054311,-0.1519023728148898,0.631770586504284
101,0.3342796925581129,-0.13224148044110579,0.19490994968380215,-0.16220291741185688,0.2884816687700339
102,-0.1938024565097854,-0.021041387835731774,0.46407352256663364,0.12120350187658017,0.21413646648510376
103,-0.08902357339761206,-0.13923886348958786,0.5088848255006182,-0.06419653650009573,0.45320489223959604
104,0.015595729207826958,-0.05577964236729142,0.4232837838795412,0.08766982553299092,0.3529769528591563
105,0.04019954750994831,0.060877043818114165,0.23641425493199358,0.03569048255124373,0.10742902945034274
106,0.07673745786497817,-0.01816153098788926,0.5967294798461308,-0.006791878155335308,0.15112938149905147
107,-0.14637337116225768,0.017734771002006943,-0.0009678034267637525,-0.11045224934676615,0.3388490351596252
108,0.02317589346446438,0.006961223337204903,0.32648781901728124,-0.251439114015071,0.32949478315910874
109,-0.023452840399265606,-0.06449843652615232,0.5882093410602287,0.021620548981606112,0.1528303090543785
110,-0.0731035675769646,-0.07108259222226673,0.5878398282232997,-0.07923243823360678,0.21799478910385
111,-0.13179712619329345,-0.009049139610749468,0.44720910149948523,-0.2105618149873174,0.42823849109861933
112,0.2819494048091702,-0.08714286584124274,0.26223383024964,-0.042908939237874553,0.22857685465328353
113,0.017532683104785885,-0.09475409003900485,0.4547018764825415,-0.09840399504350983,0.3852466857504998
114,-0.32480677866855423,-0.0020251853924071724,0.43894252899681885,0.15690878720753182,0.10247011540155213
