strain,PDMI,n_traits,mean_p_adj
DKB 58,0.48842791852632966,10,0.6226397801119344
DLGB 2,0.4491281828188288,10,0.45876159396989874
DKB 64,-0.04364818471688922,10,0.6424569134772875
AJ 1.2,-0.06511879857207732,10,0.5702354681724757
CMg,-0.06594629617300277,10,0.6737593264045305
